mc	mn	timesig	mc_onset	staff	voice	cadence
2	2	2/4	1/4	1	1	HC
4	4	2/4	1/4	1	1	HC
8	8	2/4	0	1	1	HC
10	10	2/4	1/4	1	1	HC
12	12	2/4	1/4	1	1	HC
16	16	2/4	0	1	1	PAC
18	18	2/4	0	1	1	PAC
20	20	2/4	0	1	1	PAC
32	32	2/4	0	1	1	HC
35	35	2/4	1/8	1	1	IAC
39	39	2/4	0	1	1	IAC
47	47	2/4	0	1	1	EC
55	55	2/4	0	1	1	PAC
61	61	2/4	0	1	1	PAC
68	68	2/4	1/4	1	1	PAC
76	76	2/4	1/4	1	1	PAC
86	86	2/4	0	1	1	HC
92	92	2/4	0	1	1	HC
97	97	2/4	1/4	1	1	HC
99	99	2/4	1/4	1	1	HC
103	103	2/4	0	1	1	HC
105	105	2/4	1/4	1	1	HC
107	107	2/4	1/4	1	1	HC
111	111	2/4	0	1	1	PAC
113	113	2/4	0	1	1	PAC
115	115	2/4	0	1	1	PAC
131	131	2/4	0	1	1	HC
134	134	2/4	1/8	1	1	IAC
138	138	2/4	0	1	1	IAC
142	142	2/4	1/8	1	1	IAC
146	146	2/4	0	1	1	EC
154	154	2/4	0	1	1	PAC
160	160	2/4	0	1	1	PAC
169	169	2/4	1/4	1	1	DC
171	171	2/4	0	1	1	PAC
