measure	beat	label
4.0	6.0	HC
8.0	4.0	PAC
12.0	6.0	HC
16.0	6.0	IAC
18.0	4.0	PAC
22.0	4.0	HC
26.0	4.0	PAC
30.0	6.0	HC.TEN
34.0	6.0	IAC
36.0	4.0	PAC
40.0	6.0	HC
44.0	4.0	PAC
48.0	6.0	HC
52.0	6.0	IAC
54.0	4.0	PAC
58.0	6.0	HC
62.0	4.0	PAC
66.0	6.0	HC
70.0	4.0	PAC
72.0	4.0	PAC
76.0	4.0	HC
80.0	4.0	PAC
84.0	6.0	HC
88.0	3.0	HC
90.0	4.0	PAC
94.0	4.0	HC
98.0	5.0	PAC
102.0	5.0	HC
106.0	6.0	IAC
108.0	6.0	PAC
112.0	4.0	HC
116.0	3.0	PAC
120.0	3.0	HC
124.0	4.0	IAC
126.0	3.0	PAC
132.0	3.0	PAC
133.0	3.0	PAC
134.0	3.0	PAC
