ix	mn	onset	chords
0	0	0	.F.I
1	1	1/2	V7
2	2	0	vi(64)
3	2	1/4	vi
4	2	3/8	I6
5	2	1/2	V64
6	2	5/8	I
7	3	0	IV6
8	3	1/8	IV
9	3	1/4	I6
10	3	1/2	viio6/V
11	4	0	V(64)
12	4	1/4	V\\
13	5	0	V.V65
14	5	1/2	I
15	6	0	V43
16	6	1/4	I6
17	7	0	ii6
18	7	1/4	V(64)
19	7	1/2	V7
20	8	0	I\\
0	9	0	ii.#viio43(2)
1	9	1/4	#viio43
2	9	1/2	i6
3	9	5/8	V43
4	10	0	i(9#74)
5	10	1/4	i
6	10	3/8	I.viio43
7	10	1/2	I6
8	10	5/8	V43
9	11	0	I
10	11	1/8	IV6
11	11	1/4	I6
12	11	1/2	IV
13	11	5/8	ii
14	12	0	V(64)
15	12	1/4	V\\
16	13	0	V7
17	13	3/8	I
18	13	1/2	V43
19	13	5/8	I6
20	14	0	V2(4)
21	14	1/4	V2
22	14	3/8	V65/IV
23	16	0	IV(#2)
24	16	1/4	IV
25	17	0	I(64)
26	17	1/4	I
27	18	0	V6
28	18	1/4	V65
29	18	3/8	V2
30	18	1/2	I6
31	18	5/8	V43
32	19	0	I
33	19	1/4	V(64)
34	19	1/2	V7
35	20	0	I\\
0	20	0	i.i[i64
1	21	3/8	iio6
2	21	5/8	#viio6
3	22	0	i6]
4	23	0	V6
5	23	5/8	V65
6	24	0	i(42)
7	24	1/8	i
8	25	0	VI6(9)
9	25	1/8	VI6
10	26	0	V65/III
11	27	0	.bIII.I
12	27	1/8	ii6
13	27	1/4	V(64)
14	27	1/2	V7(4)
15	27	5/8	V7
16	28	0	I\\
0	29	1/2	V43/V
1	30	0	V(6)
2	30	1/4	V
3	30	3/8	V65/vi
4	30	1/2	i.i
5	31	0	VIM7
6	31	1/2	iio64
7	31	5/8	.It6
8	32	0	V(64)
9	32	1/4	V\\
10	32	1/2	i
11	33	0	iv(6)
12	33	1/8	iv
13	33	1/4	viio/V
14	33	3/8	V
15	33	1/2	i
16	34	0	VI(6)
17	34	1/8	VI
18	34	1/4	V2/iv
19	34	5/8	V7/iv
20	35	0	iv
21	35	3/16	iio6
22	35	1/4	V(64)
23	35	1/2	V7
24	36	0	i\\
0	36	0	i[i6
1	37	3/8	iio6
2	37	5/8	#viio6
3	38	0	i6
4	39	0	#viio(64)
5	39	3/8	#viio
6	39	1/2	V2
7	40	0	i6]\\
0	41	0	I.I
1	41	1/2	V7
2	42	0	vi(64)
3	42	1/4	vi
4	42	3/8	I6
5	42	1/2	viio6
6	42	5/8	I
7	43	0	IV6
8	43	3/16	IV
9	43	1/4	I6
10	43	1/2	viio6/V
11	44	0	V(64)
12	44	1/4	V\\
13	45	0	V.V65
14	45	1/2	I
15	46	0	V43
16	46	1/4	I6
17	47	0	ii6
18	47	1/4	V(64)
19	47	1/2	V7(4)
20	47	5/8	V7
21	48	0	I\\
22	49	0	ii.#viio43(2)
23	49	1/4	#viio43
24	49	1/2	i6
25	49	5/8	V43
26	50	0	i(9#74)
27	50	1/4	i
28	50	3/8	I.viio43
29	50	1/2	I6
30	50	5/8	V43
34	51	0	I
35	51	1/8	IV6
31	51	1/4	I6
32	51	1/2	IV
33	51	5/8	ii
36	52	0	V(64)
37	52	1/4	V\\
38	53	0	V7
39	53	3/8	I
40	53	1/2	V43
41	53	5/8	I6
42	54	0	V2(4)
43	54	1/4	V2
44	54	3/8	V65/IV
45	56	0	IV(#2)
46	56	1/4	IV
47	57	0	I(64)
48	57	1/4	I
49	58	0	V6
50	58	1/4	V65
51	58	3/8	V2
52	58	1/2	I6
53	58	5/8	V43
54	59	0	I
55	59	1/4	V(64)
56	59	1/2	V7(4)
57	59	5/8	V7
58	60	0	I\\
59	61	0	I
60	61	1/2	I(974)
61	62	0	I
62	62	1/4	vi
63	62	1/2	vii%7/V
64	63	0	V(64)
65	63	1/2	V7
66	64	0	I\\
